Date,Open,High,Low,Close,Adj Close,Volume
2019-08-27,115.160004,115.459999,113.150002,113.379997,101.163300,3160700
2019-08-28,112.860001,114.949997,111.750000,114.860001,102.483833,3187900
2019-08-29,116.620003,118.129997,116.489998,117.769997,105.080284,3442900
2019-08-30,119.019997,119.589996,118.449997,119.000000,106.177742,2912000
2019-09-03,117.900002,117.900002,115.400002,117.029999,104.419991,3780600
2019-09-04,118.419998,119.239998,118.260002,119.099998,106.266975,3688400
2019-09-05,120.500000,124.239998,120.500000,122.989998,109.737823,5355100
2019-09-06,123.709999,124.339996,122.459999,122.699997,109.479057,3315700
2019-09-09,123.389999,127.389999,123.199997,127.250000,113.538795,4433300
2019-09-10,127.260002,130.289993,127.220001,130.289993,116.251251,8479700
2019-09-11,130.850006,133.190002,129.470001,133.089996,118.749542,7592600
2019-09-12,132.000000,132.690002,130.070007,131.750000,117.553932,5594600
2019-09-13,132.800003,133.990005,131.130005,133.779999,119.365189,3704900
2019-09-16,132.990005,133.800003,131.990005,133.149994,118.803093,2876500
2019-09-17,132.589996,132.759995,131.190002,132.169998,117.928680,2888900
2019-09-18,131.630005,132.220001,129.720001,131.070007,116.947197,3005700
2019-09-19,131.470001,132.029999,129.869995,130.119995,116.099564,2725700
2019-09-20,130.009995,130.990005,127.870003,128.160004,114.350754,6412300
2019-09-23,127.339996,128.880005,126.339996,128.419998,114.582748,2723500
2019-09-24,128.740005,129.000000,125.570000,125.989998,112.414581,3370700
2019-09-25,125.849998,126.820000,125.019997,126.610001,112.967781,2354100
2019-09-26,126.790001,126.919998,125.650002,126.389999,112.771469,2227400
2019-09-27,127.000000,127.379997,125.660004,126.589996,112.949928,2214300
2019-09-30,126.339996,127.099998,125.879997,126.309998,112.700096,2795300
2019-10-01,127.400002,128.500000,122.300003,122.370003,109.184647,3718200
2019-10-02,121.150002,121.849998,119.339996,119.959999,107.034302,4255800
2019-10-03,119.339996,120.059998,117.250000,120.040001,107.105675,3110200
2019-10-04,119.720001,121.150002,119.349998,121.040001,107.997940,2442300
2019-10-07,120.849998,121.699997,119.750000,120.250000,107.293053,2334500
2019-10-08,118.790001,119.199997,117.690002,117.970001,105.258736,3530000
2019-10-09,119.489998,120.059998,118.000000,119.440002,106.570343,2557300
2019-10-10,120.040001,123.029999,119.760002,122.690002,109.470139,3242900
2019-10-11,125.610001,130.380005,125.400002,128.399994,114.564896,6747800
2019-10-14,126.809998,128.559998,126.010002,128.380005,114.547050,2851500
2019-10-15,127.989998,131.679993,127.650002,131.029999,116.911522,3289000
2019-10-16,131.000000,132.809998,130.110001,130.190002,116.162033,3038300
2019-10-17,130.970001,132.860001,130.179993,132.070007,117.839462,3418300
2019-10-18,130.149994,132.029999,129.990005,130.710007,117.542709,4329200
2019-10-21,131.949997,133.449997,131.500000,132.229996,118.909569,4225200
2019-10-22,132.589996,134.259995,130.940002,133.690002,120.222511,4681600
2019-10-23,134.229996,135.990005,130.699997,135.339996,121.706284,11295900
2019-10-24,135.089996,135.289993,132.380005,133.850006,120.366394,3916200
2019-10-25,135.000000,139.979996,134.850006,139.729996,125.654030,8319500
2019-10-28,139.970001,141.630005,138.869995,140.059998,125.950836,6174000
2019-10-29,139.380005,141.449997,138.770004,141.330002,127.092888,4427900
2019-10-30,141.000000,141.000000,139.610001,140.339996,126.202599,3948100
2019-10-31,139.369995,140.339996,136.389999,137.800003,123.918457,4037600
2019-11-01,139.369995,144.610001,139.229996,144.490005,129.934540,6220200
2019-11-04,145.350006,147.000000,145.020004,146.919998,132.119736,5437800
2019-11-05,146.860001,148.000000,145.669998,146.369995,131.625137,4516700
2019-11-06,146.470001,146.470001,144.660004,145.490005,130.833832,3736600
