Date,Open,High,Low,Close,Adj Close,Volume
2019-08-27,135.770004,135.990005,134.190002,134.490005,132.642807,6013600
2019-08-28,134.059998,136.729996,133.520004,136.550003,134.674500,5950500
2019-08-29,138.119995,138.679993,137.419998,137.839996,135.946777,6532700
2019-08-30,138.289993,138.500000,136.759995,137.259995,135.374756,5622200
2019-09-03,136.369995,136.419998,135.059998,136.309998,134.437805,5997400
2019-09-04,136.740005,138.199997,136.389999,137.889999,135.996109,4285400
2019-09-05,138.919998,139.270004,138.320007,138.839996,136.933044,5143500
2019-09-06,139.130005,139.809998,138.250000,139.550003,137.633316,4090000
2019-09-09,139.580002,140.080002,138.479996,138.830002,136.923187,5458700
2019-09-10,138.119995,138.440002,134.580002,135.789993,133.924942,10974600
2019-09-11,135.559998,136.240005,134.929993,136.190002,134.319458,7896400
2019-09-12,136.839996,138.669998,136.539993,137.500000,135.611450,7333900
2019-09-13,137.850006,138.220001,137.110001,138.020004,136.124313,5209100
2019-09-16,136.289993,137.240005,135.300003,135.800003,133.934814,6329300
2019-09-17,135.800003,136.729996,135.669998,136.309998,134.437805,4726500
2019-09-18,136.410004,137.070007,135.720001,136.800003,134.921066,6857900
2019-09-19,137.000000,137.360001,133.000000,133.300003,131.469131,12216100
2019-09-20,133.029999,133.229996,131.610001,132.270004,130.453293,25231600
2019-09-23,131.990005,132.889999,131.889999,132.460007,130.640686,6096100
2019-09-24,134.009995,134.149994,131.500000,131.970001,130.157410,11904000
2019-09-25,131.789993,133.419998,131.220001,133.089996,131.262024,6523000
2019-09-26,133.139999,133.300003,129.059998,131.270004,129.467041,11615100
2019-09-27,130.100006,131.000000,128.919998,129.960007,128.175018,8401300
2019-09-30,130.350006,130.860001,129.820007,130.320007,128.530075,5532500
2019-10-01,130.800003,131.779999,129.509995,129.550003,127.770653,5978500
2019-10-02,128.509995,129.220001,127.570000,129.139999,127.366280,8296100
2019-10-03,128.600006,129.429993,127.540001,128.149994,126.389870,8498700
2019-10-04,128.690002,130.440002,128.610001,130.270004,128.480759,6732900
2019-10-07,130.270004,131.570007,129.039993,130.899994,129.102097,5784100
2019-10-08,129.899994,130.039993,128.369995,128.470001,126.705482,6526000
2019-10-09,129.100006,129.850006,128.059998,129.330002,127.553665,5004600
2019-10-10,129.220001,130.139999,128.880005,129.339996,127.563522,4512000
2019-10-11,130.300003,130.990005,129.839996,130.020004,128.234192,6559000
2019-10-14,130.130005,130.300003,129.479996,129.699997,127.918579,3710300
2019-10-15,130.009995,130.889999,129.399994,129.759995,127.977753,5914700
2019-10-16,129.759995,131.830002,129.699997,130.860001,129.062668,7610800
2019-10-17,132.529999,133.440002,130.509995,132.369995,130.551910,8005100
2019-10-18,132.369995,133.160004,130.889999,130.889999,129.092239,8694000
2019-10-21,131.440002,131.729996,130.020004,130.259995,128.470901,6257100
2019-10-22,133.149994,133.679993,132.100006,132.399994,130.581512,9291600
2019-10-23,132.449997,132.679993,130.759995,131.130005,129.328934,5970800
2019-10-24,131.520004,131.699997,129.630005,130.259995,128.470901,5746300
2019-10-25,130.500000,131.759995,130.029999,130.899994,129.102097,6696000
2019-10-28,131.449997,132.080002,130.139999,130.529999,128.737183,8940300
2019-10-29,130.500000,130.770004,129.440002,129.479996,127.701607,9305100
2019-10-30,129.690002,130.309998,129.149994,129.600006,127.819969,10880000
2019-10-31,129.529999,130.149994,128.750000,129.919998,128.135559,9628300
2019-11-01,130.990005,132.800003,130.509995,132.750000,130.926697,8507600
2019-11-04,134.119995,134.139999,132.470001,132.919998,131.094376,7631800
2019-11-05,132.770004,132.770004,130.889999,131.449997,129.644547,7404500
2019-11-06,131.600006,131.660004,130.660004,131.270004,129.467041,9132500
2019-11-07,132.350006,133.699997,131.750000,132.960007,131.133820,18047600
2019-11-08,140.220001,140.250000,136.740005,137.960007,136.065155,24175900
2019-11-11,137.500000,138.559998,136.210007,136.740005,134.861908,10138400
2019-11-12,138.029999,139.339996,136.740005,138.580002,136.676636,17284000
2019-11-13,138.580002,149.919998,136.839996,148.720001,146.677353,45725400
2019-11-14,148.000000,150.630005,146.279999,147.149994,145.128906,28393600
2019-11-15,147.139999,147.199997,144.210007,144.669998,142.682983,13733400
2019-11-18,144.750000,149.039993,143.690002,147.649994,145.622040,15353100
2019-11-19,148.179993,149.479996,146.800003,148.380005,146.342041,11504300
