Date,Open,High,Low,Close,Adj Close,Volume
2019-08-27,158.110001,158.199997,156.240005,157.479996,141.996597,2530200
2019-08-28,157.169998,160.000000,156.460007,159.550003,143.863083,2363400
2019-08-29,161.479996,164.000000,160.940002,163.600006,147.514893,3919300
2019-08-30,165.000000,165.639999,164.100006,164.619995,148.434601,3156600
2019-09-03,163.509995,164.460007,162.649994,163.529999,147.451767,2799500
2019-09-04,165.179993,167.729996,165.179993,167.139999,150.706818,3974700
2019-09-05,168.610001,170.960007,168.509995,170.369995,153.619217,4511600
2019-09-06,170.949997,171.789993,170.520004,171.160004,154.331573,3327800
2019-09-09,171.889999,172.729996,169.059998,169.660004,152.979065,4991800
2019-09-10,168.630005,169.639999,166.899994,169.610001,152.934006,4221600
2019-09-11,169.789993,171.360001,169.199997,171.279999,154.439774,4047500
2019-09-12,171.529999,172.000000,168.399994,168.630005,152.050323,2777500
2019-09-13,168.929993,169.179993,167.479996,167.710007,151.220795,2739600
2019-09-16,167.039993,167.410004,165.759995,166.210007,149.868271,2427700
2019-09-17,166.490005,166.789993,165.259995,166.460007,150.093689,2287200
2019-09-18,165.889999,167.990005,165.509995,167.970001,151.455215,1831700
2019-09-19,168.080002,168.759995,166.529999,166.770004,150.373199,1950200
2019-09-20,167.600006,168.710007,166.690002,168.309998,151.761780,5050400
2019-09-23,166.740005,167.809998,166.210007,167.139999,150.706818,2325500
2019-09-24,167.789993,168.449997,164.929993,165.759995,149.462524,2638200
2019-09-25,165.929993,167.279999,165.259995,166.929993,150.517456,1645000
2019-09-26,166.869995,168.000000,166.470001,167.029999,150.607635,1983000
2019-09-27,167.860001,168.479996,166.309998,168.039993,151.518356,2514800
2019-09-30,168.830002,169.539993,168.059998,169.199997,152.564285,2079500
2019-10-01,169.550003,170.160004,164.020004,164.190002,148.046844,2793200
2019-10-02,162.139999,162.830002,159.440002,161.080002,145.242645,4520100
2019-10-03,160.610001,161.529999,158.839996,161.520004,145.639389,3088200
2019-10-04,162.000000,163.770004,161.830002,163.630005,147.541931,2741600
2019-10-07,163.279999,164.570007,162.539993,163.179993,147.136169,2214400
2019-10-08,161.320007,161.369995,158.589996,158.619995,143.024521,3418100
2019-10-09,160.630005,160.669998,158.750000,159.839996,144.124557,1680400
2019-10-10,159.860001,162.250000,159.850006,160.970001,145.143463,1613100
2019-10-11,163.009995,165.350006,162.740005,163.529999,147.451767,2244900
2019-10-14,163.619995,164.220001,162.509995,162.979996,146.955826,1055900
2019-10-15,163.520004,164.820007,163.119995,163.639999,147.550934,2814500
2019-10-16,163.610001,164.339996,162.679993,163.630005,147.541931,3449800
2019-10-17,166.300003,168.990005,165.589996,167.520004,151.049500,3302700
2019-10-18,167.149994,167.470001,162.429993,165.570007,149.291199,4421900
2019-10-21,166.970001,169.240005,166.570007,168.940002,152.329880,2534400
2019-10-22,168.699997,170.110001,167.889999,168.940002,152.329880,3290100
2019-10-23,169.940002,170.000000,169.000000,169.850006,153.150360,2379100
2019-10-24,169.960007,171.720001,168.960007,171.460007,154.602097,2181000
2019-10-25,171.240005,172.100006,170.649994,171.630005,154.755371,1950200
2019-10-28,171.970001,173.720001,171.970001,172.679993,155.702118,2367200
2019-10-29,172.100006,173.309998,171.639999,173.160004,156.134979,2714000
2019-10-30,173.240005,175.000000,173.050003,174.600006,157.433395,1956400
2019-10-31,174.169998,174.600006,171.630005,172.729996,155.747192,2143200
2019-11-01,174.289993,176.289993,173.929993,176.119995,158.803894,2835200
2019-11-04,176.600006,180.000000,176.600006,180.000000,162.302414,4383300
2019-11-05,179.770004,181.830002,179.229996,180.679993,162.915588,5156200
2019-11-06,180.679993,180.979996,179.720001,180.809998,163.032806,2742400
2019-11-07,181.800003,181.990005,179.380005,179.660004,161.995865,2548800
2019-11-08,179.660004,181.229996,179.550003,181.210007,163.393478,1636800
2019-11-11,180.690002,181.440002,179.789993,180.830002,163.050812,1594600
2019-11-12,181.169998,183.119995,181.100006,182.009995,164.114792,1816900
2019-11-13,180.789993,182.789993,180.509995,181.949997,164.060730,1855200
2019-11-14,180.669998,181.369995,179.110001,179.649994,162.792084,2208300
2019-11-15,180.910004,181.949997,180.660004,181.750000,164.695007,3242700
2019-11-18,181.440002,181.440002,179.380005,179.800003,162.928040,2405800
2019-11-19,180.500000,180.699997,179.009995,180.119995,163.217972,2673200
2019-11-20,180.929993,181.699997,176.539993,177.220001,160.590118,4190700
2019-11-21,176.929993,177.690002,175.399994,176.529999,159.964859,3135100
2019-11-22,176.880005,177.520004,175.660004,176.789993,160.200455,1852200
2019-11-25,177.860001,177.949997,175.970001,176.509995,159.946747,2657500
2019-11-26,177.500000,179.690002,177.059998,178.520004,161.768127,4578900
2019-11-27,178.589996,179.649994,178.130005,179.419998,162.583664,1044800
2019-11-29,178.779999,179.169998,177.679993,178.550003,161.795288,1633100
2019-12-02,178.550003,178.750000,174.300003,174.320007,157.962250,3053500
2019-12-03,172.580002,173.309998,171.259995,172.550003,156.358337,3775500
2019-12-04,173.970001,175.990005,173.149994,173.210007,156.956421,2933400
2019-12-05,173.669998,174.300003,172.630005,174.009995,157.681305,2342100
2019-12-06,174.910004,176.229996,174.740005,175.460007,158.995270,2118000
2019-12-09,175.179993,175.759995,174.250000,174.490005,158.116272,1556500
2019-12-10,174.490005,174.800003,173.660004,174.039993,157.708527,2027800
2019-12-11,174.589996,176.190002,174.190002,176.009995,159.493652,2174100
2019-12-12,176.339996,178.160004,175.199997,177.389999,160.744156,2277600
2019-12-13,177.389999,178.789993,176.830002,176.979996,160.372604,2050200
